date,Africa Eastern and Southern,Africa Western and Central,Arab World,Caribbean small states,Central Europe and the Baltics,Early-demographic dividend,East Asia & Pacific,East Asia & Pacific (IDA & IBRD countries),East Asia & Pacific (excluding high income),Euro area,Europe & Central Asia,Europe & Central Asia (IDA & IBRD countries),Europe & Central Asia (excluding high income),European Union,Fragile and conflict affected situations,Heavily indebted poor countries (HIPC),High income,IBRD only,IDA & IBRD total,IDA blend,IDA only,IDA total,Late-demographic dividend,Latin America & Caribbean,Latin America & Caribbean (excluding high income),Latin America & the Caribbean (IDA & IBRD countries),Least developed countries: UN classification,Low & middle income,Low income,Lower middle income,Middle East & North Africa,Middle East & North Africa (IDA & IBRD countries),Middle East & North Africa (excluding high income),Middle income,North America,Not classified,OECD members,Other small states,Pacific island small states,Post-demographic dividend,Pre-demographic dividend,Small states,South Asia,South Asia (IDA & IBRD),Sub-Saharan Africa,Sub-Saharan Africa (IDA & IBRD countries),Sub-Saharan Africa (excluding high income),Upper middle income,World
1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,420.034032004954,1820.36061377482,6306.49645520029,530.95664217401,479.01247116045,26001.7080055354,56743.0018722517,48255.8034158644,48412.1059440832,8398.6751900709,11766.3568820118,1837.27627503502,1538.27354503553,9342.79177872829,2412.91434857811,1538.68893618424,24659.3663405306,64599.1794706885,73907.9470364749,946.403625940166,8362.36393984629,9308.76756578646,47136.5238352446,3579.75193437255,2855.2465349548,3244.58350337922,7865.82750231531,73378.9871315942,720.638129695384,36591.5020719533,6415.68447613799,5364.98496890386,5371.66762370601,72658.3490018989,4615.70133027539,,23533.5808326152,381.85011527596,40.689489248922,22553.5927047038,2091.58907466716,953.496246698892,12964.9042275126,12964.9042275126,2240.39464577977,2240.39464577977,2236.78925630208,36066.8469299455,98325.7953683419
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,588.728409064831,2368.04412004448,7613.17791264053,620.98404485731,494.35536613525,30073.2257479022,66504.3462484336,57818.9858979931,57986.0316838238,8984.90190551027,12522.3887312033,1936.48997148053,1622.0329950454,9966.9608849668,2940.88031025866,1932.04093428332,26628.9294367296,76618.4328576803,87297.6847454207,1246.8976552587,9432.35423248168,10679.2518877404,56193.212212914,4204.41318351965,3394.15808640245,3844.94581494384,8866.29897717438,86702.1030551203,878.191482021008,41724.0942273315,7774.0680928699,6348.8960928155,6356.31260415037,85823.9115730993,5305.79490425488,,25294.7097121352,500.636790094179,59.41575038916,24075.631765042,2760.34788743891,1181.03658534065,14391.5944390783,14391.5944390783,2956.77252910931,2956.77252910931,2951.97324661997,44099.8173457678,113659.378128469
