date,Africa Eastern and Southern,Africa Western and Central,Arab World,Caribbean small states,Central Europe and the Baltics,Early-demographic dividend,East Asia & Pacific,East Asia & Pacific (IDA & IBRD countries),East Asia & Pacific (excluding high income),Euro area,Europe & Central Asia,Europe & Central Asia (IDA & IBRD countries),Europe & Central Asia (excluding high income),European Union,Fragile and conflict affected situations,Heavily indebted poor countries (HIPC),High income,IBRD only,IDA & IBRD total,IDA blend,IDA only,IDA total,Late-demographic dividend,Latin America & Caribbean,Latin America & Caribbean (excluding high income),Latin America & the Caribbean (IDA & IBRD countries),Least developed countries: UN classification,Low & middle income,Low income,Lower middle income,Middle East & North Africa,Middle East & North Africa (IDA & IBRD countries),Middle East & North Africa (excluding high income),Middle income,North America,Not classified,OECD members,Other small states,Pacific island small states,Post-demographic dividend,Pre-demographic dividend,Small states,South Asia,South Asia (IDA & IBRD),Sub-Saharan Africa,Sub-Saharan Africa (IDA & IBRD countries),Sub-Saharan Africa (excluding high income),Upper middle income,World
1999,,18390.0947728996,334431.796477334,,127079.885,900979.353180204,468760.901150694,213532.176419802,213801.55918495,,1993052.20508877,1154451.46741896,1097278.4253852,690157.02248671,162998.642460701,,2755374.43546286,1826758.3244101,2044869.90519561,158384.894910895,,243545.185799881,1149774.38091941,294059.691125389,177515.064902249,288438.650159977,,1878909.8165552,,691057.938255235,441932.372265294,236051.234372302,238620.79602878,1846252.08415811,1364191.03852717,,2570066.53356376,57867.632237082,,2608116.22146838,30225.646065425,87847.7299788151,96640.8857366516,96640.8857366516,27708.4600928584,27708.4600928584,27687.2442736765,1166936.83815944,4706483.31529455
2000,,20373.5679903858,352016.583242197,,129137.072,875434.107835332,469788.312214923,200546.315563318,200799.315939807,,2030760.17326528,1169967.3459136,1111274.08815879,708444.974431445,136496.451342049,,2876144.22751263,1838937.55979783,2060537.55641566,160451.030959589,,247842.630499866,1212948.4261244,294957.499146287,199680.313380364,289097.504434501,,1914214.30631226,,661167.308574461,465322.188673385,242244.998539505,244881.983096591,1881066.00941376,1425696.00940063,,2687575.91583259,63169.7342091008,,2698077.32002062,32367.7020727873,95379.8444535396,101540.577879117,101540.577879117,29639.6234647519,29639.6234647519,29616.928992019,1229907.43140953,4838354.20611413
2001,,18629.0134529078,346651.077849884,,133984.846,898407.374542548,509577.475472971,228760.279766107,229048.873634032,,2084162.88902968,1194434.83468838,1135709.25981391,733763.644235961,148306.64127968,,2831128.79240254,1915691.76600853,2140950.0394028,162042.662419207,,250829.831711374,1264772.46903207,307613.442037365,199410.005472094,301518.845315974,,1982194.64614767,,686928.69572377,467495.977389321,253320.77203187,256078.323138661,1949280.06502087,1344566.08509645,,2650631.38613018,57734.5679018769,,2654367.78076074,29235.5116455541,93973.6342404473,104869.463882306,104869.463882306,28910.7802647989,28910.7802647989,28888.6438528709,1272805.03103313,4867044.32270977
2002,,19803.6632882038,387085.650186765,,132455.707,972879.050812587,515300.044626419,222368.600025008,222649.130432,,2082613.70125367,1193611.99499651,1134335.54304563,739041.276670173,144244.748292355,,2918549.85849088,1948470.01739859,2190953.4883144,175759.852632244,,272730.533355114,1275540.51620002,319792.604826136,214585.27601749,313529.062429304,,2034843.07834555,,729323.173621502,523323.677226932,285586.138958136,288694.918262934,1998691.1970441,1394156.69171888,,2719177.60777364,59591.2540828039,,2702350.70146051,30089.1384290023,98996.4897885781,117179.844842432,117179.844842432,30476.4899928339,30476.4899928339,30453.154747973,1281264.83875136,5001784.1484542
2003,,29309.2521509132,404167.904025836,,140930.144,1037035.74163769,552316.302754129,249231.327784834,249545.74702303,,2194505.63264705,1270051.21946619,1205676.49532087,777296.761355209,149769.28501982,,2964645.33966117,2091759.18806423,2355822.29568628,194073.739299902,,297722.076450121,1361846.33916015,338023.941299466,232251.144400489,331321.546058636,,2194506.5500612,,796424.605266497,554928.087262776,304779.583719365,308097.295376689,2156567.03005821,1373053.44740355,,2761138.16248087,63299.3950896919,,2745297.26789678,39035.86078149,106950.673599007,132219.071504368,132219.071504368,39487.3638942311,39487.3638942311,39457.1292016664,1373426.54182317,5200906.13950122
2004,,31501.6265356313,439812.95101612,,139980.391,1119302.6314714,576307.639970805,262854.147509527,263185.752695564,,2243408.32677638,1296481.71593637,1232294.10409979,797664.894329027,156039.286523688,,3010976.73532926,2185272.99656988,2462168.24913959,200439.069646445,,312384.566050472,1413925.6914149,368753.033185176,259299.994971359,361472.634608959,,2298198.8143368,,832463.59523943,612700.558352295,326862.691321033,330420.79107334,2258868.60023573,1347860.14270033,,2774897.3467364,74005.2364561918,,2758025.70875209,40143.3293863676,121582.378957028,139442.486597395,139442.486597395,47666.6048017225,47666.6048017225,47630.1074263686,1440236.56269688,5348647.17012098
2005,,33148.023515661,497318.1802784,,143313.694,1188762.27902131,597629.181411258,280331.85703199,280685.511324624,,2288533.95356611,1319978.77045572,1255230.00422824,825515.798637145,167194.004000605,,3057027.98253121,2304229.18645379,2582779.70034102,198835.589482812,,311734.930883039,1469481.75624898,377443.493937198,263205.38219603,369948.517982549,,2413858.83631904,,884158.528836375,691182.215205382,389693.847160833,393935.902365893,2374903.2164847,1348248.97355335,,2808812.43234732,75103.3977371161,,2780632.4467899,56388.8628517456,128422.76688383,144980.438168716,144980.438168716,50024.7224630398,50024.7224630398,49986.4195236905,1505708.45029393,5509524.73796343
2006,,33947.9438992744,514288.330618639,,142070.581,1258000.71750259,657646.190460742,310007.512972807,310398.604762632,,2295538.49543906,1340258.26348938,1274133.38094013,824313.997936597,178701.833475573,,3085573.63676414,2395635.23169277,2684587.50841186,202933.372123207,,323248.464927387,1542841.89349254,407638.030118578,284438.518063495,398966.136049777,,2506776.91136975,,893505.827975933,730851.043482731,407769.448665366,412208.267817318,2466385.0357558,1333704.49872105,,2829963.46018609,82381.7940295204,,2763891.06233353,57100.5901338218,142518.58931671,147896.55759516,147896.55759516,51171.6476148755,51171.6476148755,51132.46649765,1587252.80535832,5634269.97396737
2007,,33389.2693456396,524350.586048171,,137351.152,1297368.30381986,722778.159969775,343261.920473732,343694.964555695,,2323449.23262957,1375927.78220513,1312518.14062664,810245.211754032,178018.348752807,,3195432.38329099,2495517.59398958,2789692.16776278,205565.347139271,,327730.531845087,1612840.05786237,407284.280020124,286707.031944492,398347.176059008,,2617592.54879299,,923076.999711261,756827.63091894,434962.696869072,439697.531113194,2576252.63591118,1426326.94248289,,2946396.93079576,99238.3234672064,,2873476.7022621,56885.7467762949,163160.589442981,153893.138696196,153893.138696196,53296.1825646096,53296.1825646096,53255.3747330453,1667678.20990055,5855245.02741082
2008,,33343.7911432124,572667.19404422,,134428.553,1352468.4316561,760302.5999142,369992.10187948,370458.86757802,,2361728.71286385,1385628.42038782,1323733.31964548,824582.289836108,179000.431960321,,3264583.30481462,2572315.23824269,2871065.70671282,209232.55482757,,331930.800002856,1683059.07205561,418899.074919366,305752.534731471,409898.51688673,,2708022.19084361,,952901.586386899,816342.136488933,453353.879973285,458288.913462488,2665942.15746805,1422203.86815464,,2980440.53827723,104655.262521093,,2901050.09993048,60594.4605596776,167200.726398211,168274.99636554,168274.99636554,53223.3337639472,53223.3337639472,53182.5817112669,1727934.25722992,6011683.52530291
2009,,29937.0603432115,580866.212010427,,119899.899,1384398.81652804,786416.970017011,403975.514327835,404485.151998964,,2191534.29333967,1274688.86264191,1217910.30501893,775010.767362118,175657.745079701,,3182811.51837673,2554703.83238032,2841031.52148574,189569.22119416,,316016.616733682,1659963.42103091,417857.477407251,304443.036056533,408884.969901846,,2683011.5930569,,962338.957232764,839668.128357868,474060.595537796,479221.03425518,2638580.26988447,1408059.22882214,,2907781.61677623,108422.497408569,,2789753.82232224,58714.2507835647,171776.746278584,202228.869215512,202228.869215512,48109.347957447,48109.347957447,48072.5115824263,1691928.13717796,5902905.44935825
2010,,33958.1481005203,627755.14718597,,130083.158,1478348.42824588,867208.417576027,446817.441440409,447381.126595075,,2396643.69219092,1410461.02449993,1351053.76066085,832561.217422928,188606.227729065,,3389443.31227836,2797378.32002124,3106883.62829805,199602.604605381,,340764.935914935,1832564.28291801,451212.181134821,324824.997785288,441883.274409706,,2934010.87829417,,1052811.70491417,904080.553200162,496179.476240347,501580.692464736,2881421.07731198,1455808.39121612,,3067093.65545419,121728.469520935,3.667,2974262.16535119,60049.1997246048,190154.378358425,223967.90892405,223967.90892405,55673.619237869,55673.619237869,55630.9910501244,1845833.45280102,6362935.0970411
2011,,44380.7414447472,672082.408866753,,126401.49,1536786.79218083,958382.287761566,494928.086127586,495552.46554724,,2336903.55518523,1455856.92228816,1395822.48871931,765591.149027239,179202.424912424,,3405753.43871459,2893565.10451521,3226797.77014212,223982.072218573,,369630.52513457,1944105.74875362,449070.083740954,334961.697541881,439879.444067637,,3065298.56488961,,1088703.41185662,962816.76254309,516367.967685794,521988.947952758,3014743.70699431,1495707.5722378,,3060994.37468332,141697.276669581,,2931200.55973801,69972.0068180405,210663.334711473,219652.969431972,219652.969431972,68117.2824546353,68117.2824546353,68065.1264003877,1943425.57242096,6496773.56035589
2012,,44868.2149149585,713825.36221948,,123768.584,1548275.46167584,1016039.14357196,536201.548050236,536877.996247,,2281275.17694689,1422658.52899273,1361779.56342985,751448.858214671,178582.207355734,,3489227.95032298,2917103.49649301,3249297.48928328,225607.907970372,,367723.190497973,1993650.19751176,472472.006462204,357561.300190701,462877.072221308,,3086675.57450246,,1076216.96622106,997716.248033074,521253.62820496,526927.791866494,3038830.02178946,1556112.0784329,,3121113.23367227,161656.234838129,,2978317.53753288,70842.0714276209,230704.745696842,205194.673507676,205194.673507676,69608.5472135009,69608.5472135009,69555.249327359,1979086.79735575,6603953.62223841
2013,,44926.0507504073,712110.215885164,,119280.176,1562035.94504577,1070728.09634344,579547.88767694,580279.019701797,,2252603.29777151,1405522.45092928,1346962.13366973,738034.263239133,179000.180056982,,3528860.46594664,2995155.18069717,3316034.90785761,211370.750729439,,351083.682600573,2060338.45575102,484896.171346629,371056.35944112,475035.448215755,,3157239.42951269,,1066222.35030477,1007296.719695,523928.204414519,529631.482469348,3110121.01146819,1591301.27063122,,3171178.01033091,144799.705400443,,3006756.45764526,70451.7181162956,213437.087005123,230904.680561004,230904.680561004,69234.5166388017,69234.5166388017,69181.5051404639,2059011.37807898,6711986.18087934
2014,,50375.012675905,741294.744163885,,110574.718,1614695.52337143,1107329.77898205,615806.679203635,616583.553718857,,2146805.57285436,1398701.11513364,1342627.65831402,650729.138953127,181229.36779697,,3513526.45692558,3060772.96349115,3391541.79756089,216514.523889594,,362522.723402875,2127599.54710899,497650.494361486,386384.651626243,487333.086550578,,3238415.93053014,,1092103.84302283,1077985.06466004,560061.577041099,566158.188895125,3190333.69220345,1643430.28244506,,3123397.25091458,187431.015754533,,2946327.87903937,75643.8874621161,259161.973300444,222630.239462378,222630.239462378,76064.2177820105,76064.2177820105,76005.9769167561,2113652.142911,6774278.00733484
2015,,50589.8314932863,810116.922299382,,113240.627,1755578.47776277,1138530.04946193,667532.893882609,668375.023906273,,2407395.61100006,1321864.55909596,1265736.7147587,694189.836954301,191754.827918,,3771802.2610721,3081894.58337693,3423167.18857116,217014.781043994,,375799.378692939,2093802.39310462,508887.662157934,397260.80668423,498296.127456802,,3270022.46219569,,1158014.49390738,1168524.83739303,594310.5891564,600780.022396163,3222257.4387131,1684661.02572756,,3293513.36820086,185495.69116528,,3087405.47165265,76415.1400293394,256409.234281746,232976.157270221,232976.157270221,79148.5586690844,79148.5586690844,79087.956185092,2082545.85930284,7146572.79793599
